テストプレイ(03/23)
end
似非原,hogehgoerock,necro,necro,NAORA,orange,コル子11,3122,とリッパ,5678
とリッパ,似非原
5
end
6
似非原
とリッパ,necro,NAORA,コル子11



necro,success,コル子11,success,NAORA,success

registance,spy,registance,spy,registance

コル子11,say,purple,おもしろいです。次も参加したい,1332511486
似非原,say,navy,ほいほい～>NAORA,1332511444
NAORA,say,teal,お風呂に行って参りますのでまた！,1332511429
とリッパ,say,maroon,ではもう一回参加します,1332511416
似非原,say,navy,http://www45045u.sakura.ne.jp/registance/show.php?file=1332511356.dat // 一応二回目の部屋を作っておきました,1332511379
コル子11,say,purple,やったー！（遅い,1332511375
necro,say,green,こる子さんさすがです,1332511372
NAORA,say,teal,勝ちましたｗ,1332511366
似非原,say,navy,もちろんですw,1332511365
necro,say,green,なるほどー、面白い,1332511358
コル子11,say,purple,これは喜んでいいんですね？ｗ,1332511351
とリッパ,say,maroon,まけた！,1332511348
似非原,say,navy,こんな幹事ですw,1332511345
necro,say,green,おーｗ,1332511340
とリッパ,say,maroon,割れました,1332511336
似非原,say,navy,別れたw,1332511335
system,warning,red,今回は、【とリッパ、似非原】の方々がスパイでした。おつかれさま！,1332511331
system,warning,red,やりましたね！スパイの妨害を勝ち抜き、【レジスタンス側の勝利】です。,1332511331
system,warning,red,【似非原】が、リーダーとして選出されました。,1332511331
system,warning,red,このミッションは【成功】しました。,1332511331
コル子11,say,purple,う…わぁ…,1332511320
system,warning,red,【コル子11】が選んだチーム(necro、NAORA、コル子11)は信任されました。,1332511313
system,message,red,とリッパさんは、【不信任】に投票しました。,1332511313
system,message,red,コル子11さんは、【信任】に投票しました。,1332511313
system,message,red,NAORAさんは、【信任】に投票しました。,1332511313
system,message,red,necroさんは、【信任】に投票しました。,1332511313
system,message,red,似非原さんは、【不信任】に投票しました。,1332511313
necro,say,green,期待,1332511312
NAORA,say,teal,コル子さんに（ｒｙ,1332511301
似非原,say,navy,ほう,1332511293
system,warning,red,コル子11さんは、【necro、NAORA、コル子11】を、チームとして選びました。,1332511269
似非原,say,navy,necroさんは二回選ばれてて、失敗させてないってことは、スパイじゃない可能性が高そう,1332511250
NAORA,say,teal,なんだと・・・,1332511201
コル子11,say,purple,oh…,1332511199
似非原,say,navy,えええええええ,1332511192
とリッパ,say,maroon,とんとんになった！,1332511187
necro,say,green,・・・・・,1332511186
necro,say,green,任せて！,1332511180
