今回は最後
end
アルパカ,11111,似非原,hogehogerock,NAORA,orange,ジョニー,mozomoz,かなだ,canada
アルパカ,かなだ
5
end
6
かなだ
アルパカ,ジョニー,似非原,NAORA


アルパカ,似非原,アルパカ,spy,1,似非原,ジョニー,かなだ,似非原,spy,1,NAORA,ジョニー,ジョニー,registance,0,アルパカ,NAORA,ジョニー,NAORA,registance,0,アルパカ,NAORA,ジョニー,かなだ,spy,1
NAORA,success,ジョニー,success,アルパカ,failure

spy,spy,registance,registance,spy

アルパカ,say,black,まさか歴史に残るとは・・・,1332605587
かなだ,say,black,歴史に名を残せてよかったですねｗ,1332605563
ジョニー,say,black,ではありがとうございました,1332605561
アルパカ,say,black,お疲れ様でした～,1332605541
似非原,say,olive,お疲れ様～,1332605538
NAORA,say,black,皆様お疲れさまでした,1332605521
アルパカ,say,black,ファンできたよ！やったね！,1332605517
アルパカ,say,black,ありがとうございました～,1332605506
NAORA,say,black,アルパカなださん、ファンです！,1332605501
似非原,say,olive,それでは失礼します～,1332605493
似非原,say,olive,たぶん、また9時くらいから、ぽつぽつとテストプレイを募集します。あとTwitterの@RegistanceChatもよろしくですw,1332605480
アルパカ,say,black,アルパカなだ「どうも～」,1332605476
ジョニー,say,black,お疲れ様でした,1332605464
NAORA,say,black,楽しかったです。色んな意味でも。,1332605451
かなだ,say,black,お疲れ様でした,1332605451
かなだ,say,black,司会「今日のゲストは　スパイ　アルパカなだ　さん　です、どうぞ～」　的なｗ？,1332605443
アルパカ,say,black,おつかれさまでしたー,1332605442
似非原,say,olive,というわけで、今回もテストプレイお付き合いくださってありがとうございます。,1332605425
ジョニー,say,black,なるほどー,1332605384
似非原,say,olive,乱数で選ばれる座席にたまたまいたとしかいいようがないんだけどw,1332605381
かなだ,say,black,コンビ名は　アルパカなだ　ですねｗ,1332605378
似非原,say,olive,ちょっと調べてみる余地ありそうですね,1332605365
NAORA,say,black,ある意味メタですね,1332605363
似非原,say,olive,確かにw,1332605355
似非原,say,olive,なんで乱数偏るんだろう……,1332605348
アルパカ,say,black,アルパカーかなだ　コンビ3回あったぞｗｗｗ,1332605345
かなだ,say,black,今日は参加の全てがスパイと言う狙い打ち・・・ｗ,1332605339
アルパカ,say,black,乱数ひどすぎるｗｗｗｗ,1332605332
似非原,say,olive,連打していると、そのまま画面が流れちゃうことがあるねw,1332605303
アルパカ,say,black,恐らく、発言した際に外れたんでしょうねｗ,1332605297
かなだ,say,black,そして、乱数偏ってる♪　責任者でてこ～～いｗｗｗ（主に乱数作ったプログラマーｗ,1332605294
似非原,say,olive,ですねえ。エンターを押して発言するから,1332605281
アルパカ,say,black,すみません、ありがとうございます,1332605277
NAORA,say,black,発言する前に選択してて外れたとか？,1332605277
かなだ,say,black,恐らく発言時のリロードが悪さしたのかな？,1332605263
似非原,say,olive,とりあえず、確認ダイアログが出るように変更しておきます,1332605259
似非原,say,olive,乱数ひどいw,1332605243
アルパカ,say,black,うむー？,1332605235
system,warning,red,今回は、【アルパカ、かなだ】の方々がスパイでした。おつかれさま！,1332605227
