今日はラスト
end
似非原,hogehogerock,dolpen,shake,フジイ,ffi,NAORA,orange,かなだ,canada,タニハラ,zxcvbn
フジイ,タニハラ
6
end
6
フジイ
似非原


似非原,dolpen,似非原,registance,0,dolpen,フジイ,NAORA,フジイ,spy,1,似非原,NAORA,かなだ,タニハラ,NAORA,registance,0,NAORA,かなだ,タニハラ,タニハラ,spy,1,似非原,dolpen,フジイ,タニハラ,dolpen,spy,2
dolpen,success,フジイ,failure,タニハラ,failure,似非原,success
フジイ,タニハラ
registance,spy,registance,spy,spy

似非原,say,purple,はい、またの機会によろしくお願いします。,1332691434
フジイ,say,olive,数回やると、なんとなくどんな人なのかわかる感じがしますし,1332691422
フジイ,say,olive,また機会があったらお願いします。そのときは違う名前で入りたいですね。,1332691371
かなだ,say,black,スパイやるコツは自分は白と信じて発言、投票することかな。。。,1332691330
フジイ,say,olive,「dolpen:フジイさん信任なんだ。。。」ここかー,1332691301
dolpen,say,black,自分を含まない全白必須チームへの信任投票を、もっとも黒く見てます、、ただ、それが慣れて居ないからなのかどうか判断するのが難しいですが。。,1332691191
似非原,say,purple,ちゃんと考えるとグッタリきますね。,1332691159
フジイ,say,olive,けっこうグッタリしました。。リアルだとすぐバレそう。,1332691136
似非原,say,purple,自分も、スパイをやっていて何が自然なのか苦手っす,1332691097
かなだ,say,black,信任云々は、発言＋Mの成否に自分がいたかどうかじゃないですか？＞NAORAさん,1332691094
似非原,say,purple,最初だと難しいですよね,1332691078
かなだ,say,black,その辺りはなれじゃないですか？＞フジイさん,1332691057
フジイ,say,olive,アタマ回らなくて、とりあえず自分目線で黒っぽいのはNAORAさんのはずだなーと,1332691042
フジイ,say,olive,えっと、スパイやりながら「自分目線だと云々」言うの難しいんですね,1332691004
NAORA,say,black,タイミング；； お疲れさまでした,1332690985
NAORA,say,black,信任しずらいっていうのは無言だったからですかねー,1332690970
dolpen,say,black,お疲れ様でした！,1332690964
フジイ,say,olive,お疲れさまでした,1332690958
かなだ,say,black,お疲れ様でした、また機会があったらよろしくお願いします＞皆様,1332690939
似非原,say,purple,また見かけたら遊んでくださいね。またね～,1332690907
似非原,say,purple,それじゃあ、今日のところはこれでお開きということで,1332690898
NAORA,say,black,勘違いでした大丈夫です；；,1332690870
NAORA,say,black,あ、,1332690860
似非原,say,purple,はい、なんでしょう,1332690800
NAORA,say,black,あ、ひとつ聞きたいことがありました,1332690771
似非原,say,purple,確かに2人黒に見えるのは面白かった,1332690746
似非原,say,purple,かなださんはかなり悩んでましたね～,1332690734
かなだ,say,black,タニハラさんのM3がGJでしたね。。。,1332690714
タニハラ,say,teal,M3で失敗させたら負ける気がしたんですよねえ,1332690702
似非原,say,purple,いいゲームでした。,1332690679
フジイ,say,olive,スパイぜんぜん難しかったです,1332690672
似非原,say,purple,お疲れ～＞フジイ,1332690668
かなだ,say,black,お疲れ様でした,1332690663
似非原,say,purple,フジイさんはわかったけど、タニハラさんか……,1332690658
かなだ,say,black,タニハラさんだったのか・・・,1332690657
NAORA,say,black,ステルス失敗,1332690654
dolpen,say,black,うわーすみません,1332690652
フジイ,say,olive,疲れたー,1332690642
タニハラ,say,teal,やった！！,1332690634
似非原,say,purple,がーーーん,1332690631
かなだ,say,black,おわったか・・・,1332690627
system,warning,red,今回は、【フジイ、タニハラ】の方々がスパイでした。おつかれさま！,1332690623
system,warning,red,やりましたね！無事、レジスタンスを妨害し、【スパイ側の勝利】です。,1332690623
system,warning,red,【フジイ】が、リーダーとして選出されました。,1332690623
system,warning,red,このミッションは、2人の「失敗」への投票で、【失敗】しました。,1332690623
system,warning,red,【dolpen】が選んだチーム(似非原、dolpen、フジイ、タニハラ)は信任されました。,1332690612
system,message,red,タニハラさんは、【信任】に投票しました。,1332690612
system,message,red,かなださんは、【不信任】に投票しました。,1332690612
system,message,red,NAORAさんは、【不信任】に投票しました。,1332690612
system,message,red,フジイさんは、【信任】に投票しました。,1332690612
system,message,red,dolpenさんは、【信任】に投票しました。,1332690612
system,message,red,似非原さんは、【信任】に投票しました。,1332690612
NAORA,say,black,どうやっても堂々巡りになりそうですね,1332690596
かなだ,say,black,自分が入らない限りは不信任でいくしかないんだけど・・・,1332690594
フジイ,say,olive,「自分は信任にしました」ってアリなんですね,1332690591
似非原,say,purple,自分は信任にしました,1332690564
似非原,say,purple,無限なので、つらいと思ったら信任で進めてくださいw,1332690552
タニハラ,say,teal,何回まで投票します？,1332690535
似非原,say,purple,これは正直わからない。リアルだったらスパイ勝利パターンかな,1332690509
dolpen,say,black,わからん,1332690487
system,warning,red,dolpenさんは、【似非原、dolpen、フジイ、タニハラ】を、チームとして選びました。,1332690452
かなだ,say,black,そんなもん自分の感ですｗ＞フジイさん,1332690441
dolpen,say,black,フジイさん-タニハラさんに2黒みれないなぁ・・,1332690432
NAORA,say,black,dolpen-フジイ、かなだ-タニハラのどっちかに１黒ずついるわけでして,1332690430
system,warning,red,【dolpen】が、リーダーとして選出されました。,1332690411
system,warning,red,【NAORA】が選んだチーム(似非原、dolpen、NAORA、かなだ)は不信任にされました。,1332690411
system,message,red,タニハラさんは、【不信任】に投票しました。,1332690411
system,message,red,かなださんは、【不信任】に投票しました。,1332690411
system,message,red,NAORAさんは、【信任】に投票しました。,1332690411
system,message,red,フジイさんは、【不信任】に投票しました。,1332690411
system,message,red,dolpenさんは、【不信任】に投票しました。,1332690411
system,message,red,似非原さんは、【信任】に投票しました。,1332690411
