蒼猫の巣
end
円卓P,azoth,丘ガエル,sf3frog,ダイスベーダーP,3156,ＳＩＭ,ほげ,Tak_ukuk,ao,出負けPOP,POP,ジリP,8585yhyh
ジリP,ダイスベーダーP,出負けPOP
7
end
5
ダイスベーダーP
Tak_ukuk,円卓P,ＳＩＭ,出負けPOP,ジリP


円卓P,丘ガエル,円卓P,registance,0,円卓P,丘ガエル,ダイスベーダーP,ジリP,spy,1,円卓P,丘ガエル,ＳＩＭ,ＳＩＭ,registance,0,円卓P,丘ガエル,ＳＩＭ,Tak_ukuk,丘ガエル,registance,0
丘ガエル,success,ＳＩＭ,success,Tak_ukuk,success,円卓P,success
円卓P,ダイスベーダーP,出負けPOP,ジリP
registance,spy,registance,registance

ジリP,say,olive,この7人でええんかや？,1332853224
Tak_ukuk,say,purple,ではでます～,1332853220
出負けPOP,say,maroon,では退出　つづきは次の部屋で,1332853218
出負けPOP,say,maroon,だいすPよろー,1332853201
Tak_ukuk,say,purple,リーダーの件は、ヴァリアントルールだと思ってやるしかないんだろなｗ,1332853198
ＳＩＭ,say,green,まあ、みんな初めてだし,1332853191
ダイスベーダーP,say,navy,じゃ、一回外に出て部屋立て直すのかな。建ててみていい？,1332853188
円卓P,say,black,まあ、やっぱ1ゲームさくさく進んでいいねｗ,1332853171
Tak_ukuk,say,purple,なんというか、自分のせいでゲーム崩しちゃったようなもんなんでもう一回やりたいですｗ,1332853166
出負けPOP,say,maroon,つぎやれば　たぶん順番わかる？,1332853165
ダイスベーダーP,say,navy,M2はねー。あそこで成功させるのも手なんだろうけど。難しかったな。,1332853165
ＳＩＭ,say,green,一番の問題は、リーダーの順番だなｗ,1332853162
ジリP,say,olive,やろうやろう,1332853146
ＳＩＭ,say,green,初日に潜伏かＭ２にまぎれたかをあぶりだすためにね,1332853131
ジリP,say,olive,もう右に出るとか言っちゃったから、スパイばれしたｗ→スパイの誰かを白く見せるしかないｗ→ダイスベーダーPが真っ黒に･･･→どうしてこうなった,1332853115
円卓P,say,black,TakPの選抜でも通ってたんだよね。ふむ。,1332853113
丘ガエル,say,teal,リセット機能がどうやらないらしいｗ,1332853112
出負けPOP,say,maroon,もっかいやってみます？,1332853108
ＳＩＭ,say,green,あたしは、順当に選んだだけだよｗ,1332853104
Tak_ukuk,say,purple,というかこのゲーム最後までやると思ってなかったw一度リセットかと。,1332853100
ダイスベーダーP,say,navy,そうだよw,1332853095
ＳＩＭ,say,green,それより、問題はリーダーの順番だよｗ,1332853090
出負けPOP,say,maroon,うむ,1332853086
円卓P,say,black,SIMさんの選抜ナイスだったわー,1332853072
ＳＩＭ,say,green,メタ推理も入ったりするよね。,1332853066
ダイスベーダーP,say,navy,【スパイ】が赤字で出るよ,1332853055
Tak_ukuk,say,purple,もしかしてスパイ側には最初から右に【スパイ】ついてたのかｗ,1332853051
ＳＩＭ,say,green,なるほどね。まあ、ＴａｋＰが陣営わかんないって時点で,1332853051
丘ガエル,say,teal,今の状態みたいなのが最初から見えるのかな、スパイだと,1332853049
ジリP,say,olive,出るよん。名前の前に【スパイ】って,1332853047
円卓P,say,black,今出てる感じで表示されるのかな？,1332853046
