蒼猫の巣part2
end
出負けPOP,POP,ダイスベーダーP,3156,ＳＩＭ,ほげほげ,ジリP,8585yhyh,丘ガエル,sf3frog,円卓P,azoth,Tak_ukuk,ao
ジリP,円卓P,ダイスベーダーP
7
end
6
ＳＩＭ
円卓P


出負けPOP,ダイスベーダーP,出負けPOP,registance,0,ＳＩＭ,ジリP,丘ガエル,Tak_ukuk,spy,1,出負けPOP,ダイスベーダーP,ジリP,ジリP,spy,1,出負けPOP,ダイスベーダーP,ＳＩＭ,丘ガエル,ダイスベーダーP,registance,0,出負けPOP,ダイスベーダーP,ＳＩＭ,丘ガエル,丘ガエル,spy,1
丘ガエル,success,ＳＩＭ,success,出負けPOP,success,ダイスベーダーP,failure
ダイスベーダーP,ジリP,円卓P
registance,spy,spy,registance,spy

ダイスベーダーP,say,navy,まあ、レジスタンスは何もしてないのに消去法で黒くされることはよくあるw,1332856306
ＳＩＭ,say,teal,8人村ｗ,1332856249
ＳＩＭ,say,teal,およよｗ,1332856244
Tak_ukuk,say,purple,あれだけ言われる上に自分フォローした人全部黒塗りしていく流れだと本人何も言えないｗ,1332856211
ダイスベーダーP,say,navy,あー、これログ残るんだw,1332856205
出負けPOP,say,maroon,SIMさんよろ,1332856143
出負けPOP,say,maroon,あ、かぶった,1332856138
出負けPOP,say,maroon,んじゃあ建てるー,1332856132
ＳＩＭ,say,teal,ふむ。せっかくなので。,1332856128
出負けPOP,say,maroon,ごめんよ　TAKPずっと白だとおもってたんだが・・・,1332856106
ダイスベーダーP,say,navy,じゃあ今度はまた誰か立てて見てー,1332856102
円卓P,say,black,さて、3連勝狙うかｗ,1332856089
Tak_ukuk,say,purple,いや、やめれんでしょこの結果ｗ,1332856075
出負けPOP,say,maroon,やるー　ノ,1332856070
Tak_ukuk,say,purple,というか誰かがいったけど自分が黒なら自分含めないとかやれません。怖くて,1332856056
ダイスベーダーP,say,navy,エアPが次あるならやりたいと,1332856053
出負けPOP,say,maroon,1戦目の結果から　ジリPを侮りすぎた,1332856049
ジリP,say,olive,芝居？,1332856043
ダイスベーダーP,say,navy,みんなもっかいやります？,1332856043
ＳＩＭ,say,teal,円卓Ｐが汚いという、ステマｗ,1332856039
円卓P,say,black,なんでだよｗ　おかしいでしょそれｗ,1332856029
出負けPOP,say,maroon,そうなのよ,1332856024
出負けPOP,say,maroon,私も　円卓P汚いついーとをやめないよ,1332856019
円卓P,say,black,ジリPは素なのか芝居なのかわからなくて怖いねｗ,1332856008
Tak_ukuk,say,purple,TakPは「円卓P汚い」ツイートをやめないよ！,1332855994
ダイスベーダーP,say,navy,お、エアPくるみたい,1332855984
丘ガエル,say,green,難しいなぁ,1332855975
円卓P,say,black,TakP白理論を押そうと思ったんだけど、そうするとM3関係者全員黒になるので無理だったｗ　そんな選択はさすがにねーよｗ,1332855973
ジリP,say,olive,円卓兄貴！なんとか勝ちやしたぜ！,1332855930
